,missing_value_num,missing_value_percentage,missing_value_percentage_10(>=2012),missing_value_percentage_20(>=2002),missing_value_percentage_30(>=1992),missing_value_percentage_40(>=1982),missing_value_percentage_50(>=1972),missing_value_percentage_60(>=1962),missing_value_percentage_60(>=1952)
racial_composition_juniorHigh,64991,0.9526119840525328,1.0,1.0,1.0,1.0,1.0,0.9462340556451747,0.952147656966934
thermometer_evangelical,63682,0.9334251876172608,1.0,1.0,1.0,0.9212707832885875,0.9141528691313223,0.9244649182617951,0.9327728604837039
Presidency_performance,63624,0.9325750469043153,1.0,1.0,1.0,1.0,0.913056626597112,0.9235003575526767,0.931914389745715
racial_composition_highSchool,62481,0.9158214118198874,1.0,1.0,1.0,1.0,0.9560557949648446,0.9044918594402221,0.9149965957194873
thermometer_women,61720,0.9046669793621013,1.0,0.9552511803989961,0.9677211500107391,0.8905374216946917,0.8770696303016557,0.8918361577223063,0.9037328675882893
racial_composition_shops,61655,0.9037142354596623,1.0,1.0,1.0,1.0,0.949327133892795,0.8907551845138115,0.902770788312957
VCF9023,61474,0.9010612101313321,0.9032170710571924,0.8956144455314986,0.8859807922432573,0.8882765767038764,0.9027935283889015,0.9046415326537061,0.9000917675616471
racial_composition_gradeSchool,60327,0.884248944652908,1.0,1.0,1.0,1.0,0.9178763136009677,0.8686700703464103,0.8831147686569373
VCF0891,59836,0.8770520637898687,1.0,1.0,0.8714675830750821,0.8024586689275116,0.8414606486731685,0.8605045650330112,0.8758473698232735
racial_composition_nbhood,59420,0.8709545028142589,1.0,1.0,1.0,1.0,0.9073486051258789,0.8535863364986446,0.8696900624611468
racial_composition_friends,59407,0.8707639540337712,1.0,1.0,1.0,1.0,0.9072730021924851,0.8533701418569457,0.8694976466060803
VCF0629,59266,0.8686972326454033,1.0,1.0,1.0,1.0,0.8843842141075073,0.8510252615123647,0.8674106746395903
VCF0627,59263,0.8686532598499062,1.0,1.0,1.0,1.0,0.8843653133741589,0.8509753704412034,0.8673662709807288
VCF9220,58862,0.8627755628517824,0.7703097920277296,0.768514186056404,0.7127427817495627,0.7795205124581979,0.8230513343917744,0.8443065972626432,0.8614309819129097
therm_Protestants,57418,0.841609990619137,1.0,0.9458079884299629,0.9179834923751956,0.937049597286986,0.876956225901565,0.8202923616770053,0.8400580207809123
VCF0131,56609,0.8297519934333959,1.0,1.0,1.0,1.0,1.0,0.9063045683590827,0.8280838341079305
concern_nuclear_war,56144,0.8229362101313321,1.0,0.9357267429495087,0.8219447086619005,0.7155103386557392,0.7716791411506766,0.7991052867905074,0.8212012669843995
VCF0626,55321,0.8108730065666041,1.0,1.0,1.0,1.0,0.8841574053073259,0.8267449402138664,0.8090198632367307
VCF0628,55258,0.8099495778611632,1.0,1.0,1.0,1.0,0.8836659862402662,0.8262460295022535,0.8080873864006394
VCF9219,54243,0.7950721153846154,0.4540186308492201,0.474456591092773,0.5710165383081218,0.6707408977438651,0.7357488470552658,0.7674909780312983,0.7930641484858353
Registered,54198,0.7944125234521576,1.0,1.0,1.0,1.0,0.9027935283889015,0.8629159668058073,0.7923980936029129
politics2complicated,53130,0.7787582082551595,0.2458297227036395,0.35794801990726954,0.5368660059525636,0.6445292261316,0.7147123308384365,0.7489813906304569,0.7765903910482224
understand_poliIssues,53124,0.7786702626641651,0.24534228769497402,0.3576927985027011,0.5366819060476818,0.6443879233196741,0.7145989264383458,0.7488816084881342,0.7765015837304994
occupation14,51795,0.7591903142589118,1.0,0.9531243353609256,0.7202908778497131,0.6130893504780746,0.6894798518182506,0.7267798639636793,0.7568307628548593
occupation71,51795,0.7591903142589118,1.0,0.9531243353609256,0.7202908778497131,0.6130893504780746,0.6894798518182506,0.7267798639636793,0.7568307628548593
concern_war,51750,0.758530722326454,1.0,0.9430856267812328,0.8614955048939892,0.7173237247421224,0.7731344976185076,0.7744590976368263,0.7561647079719369
vote_always_sameParty,50865,0.7455587476547842,1.0,1.0,1.0,1.0,0.8773909427685794,0.794016397532055,0.7430656286077972
party_handle_problem,48467,0.7104098264540337,1.0,1.0,0.8002822865208187,0.683151994724695,0.6265782112345959,0.6714340356887463,0.7075723039578461
trustPeople,48131,0.705484873358349,1.0,0.8472499893657748,0.6815685311895923,0.7555932363054024,0.6972102517577682,0.6658462357186808,0.7025990941653593
therm_Asians,47925,0.7024654080675422,0.32587738301559793,0.28763452294865793,0.37715933846767513,0.521949036785832,0.6163340137597338,0.6624203821656051,0.699550042923537
media_type_count,45446,0.6661292213883677,1.0,0.9501467523076269,0.8374704673069252,0.7961000423908435,0.708985408633855,0.6973940230496749,0.6628578194843255
Voted_Senate,43514,0.6378107410881801,0.5847053726169844,0.5968352545833511,0.6009020895339204,0.6163157646837172,0.6290542073032434,0.6351964876685903,0.6342618631775259
therm_Catholics,43335,0.635187030956848,0.7050476603119584,0.5824577821259943,0.5893651621613328,0.6027506947388253,0.6108906025553792,0.5860870432888194,0.6316124448654569
VCF0887,41462,0.607733348968105,0.4503899480069324,0.3622017099834106,0.30149427756128994,0.36974235787292165,0.4941785741286762,0.5549383845271157,0.6038897605162665
intend_v_actual_presVote,40752,0.5973264540337712,0.6129224436741768,0.5824577821259943,0.5681629897824553,0.5979699496019971,0.5996257654797006,0.6096688895910595,0.5997306178029069
therm_Jews,39866,0.5843398217636022,0.4108535528596187,0.35386447743417415,0.42459574729219723,0.5196175403890537,0.5451916534361533,0.5283963346693054,0.5802670140019538
Voted_D_R,37279,0.5464206144465291,0.3004766031195841,0.35063167297630693,0.42385934767267036,0.49724459516744385,0.5249489680199592,0.548386023847932,0.5477487344957225
Voted_Congress,31860,0.4669910881801126,0.3851819757365685,0.4004849206686801,0.41996256635267404,0.4433375724176911,0.4571898389657519,0.4577672082619614,0.46176844972025693
VCF9027,31740,0.4652321763602251,0.4847270363951473,0.4992130673359139,0.44567518640115367,0.49408883236776413,0.5136652302109321,0.48562305632701935,0.46638643024185195
interest_pubAffair,31357,0.4596183161350844,1.0,0.8532051554723723,0.6372004541130987,0.5045687909189392,0.42566341574053074,0.4052984317573298,0.4543234362511471
occupation,28223,0.4136814024390244,1.0,0.9503594368114339,0.6996716885029609,0.545052046535726,0.444828759355863,0.43641382980492593,0.40793641396051034
urbanism,24972,0.3660295497185741,1.0,1.0,0.7459114479457519,0.5725118929866705,0.4594768277009148,0.4042839799770501,0.3598176489742755
length_residence_community,24221,0.3550216932457786,0.568132582322357,0.49738398060317324,0.3594550642815501,0.27683575903160473,0.22522113858017692,0.26821439856313717,0.34870193303928243
length_residence_home,22777,0.3338561210131332,0.5602794627383015,0.4911735930920073,0.35500598324690863,0.27353869341999903,0.27156573675058593,0.28732267881791423,0.32732897190728516
