,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
all,9629,8161,16419,14526,26048,22687,0.534,0.466
NY,640,446,1086,835,1726,1281,0.574,0.426
OH,414,355,651,722,1065,1077,0.497,0.503
ID,18,28,67,85,85,113,0.429,0.571
MI,364,350,750,714,1114,1064,0.511,0.489
GA,454,316,410,364,864,680,0.56,0.44
NE,58,78,103,123,161,201,0.445,0.555
MA,207,121,545,306,752,427,0.638,0.362
KY,173,199,218,239,391,438,0.472,0.528
MO,180,186,284,329,464,515,0.474,0.526
NC,368,283,573,414,941,697,0.574,0.426
AR,277,225,241,213,518,438,0.542,0.458
MN,172,130,473,329,645,459,0.584,0.416
TN,270,257,308,383,578,640,0.475,0.525
KS,64,125,133,207,197,332,0.372,0.628
WI,149,126,361,319,510,445,0.534,0.466
IN,241,219,309,399,550,618,0.471,0.529
CT,117,69,271,258,388,327,0.543,0.457
NJ,193,224,427,439,620,663,0.483,0.517
AL,268,123,244,250,512,373,0.579,0.421
OR,110,92,278,203,388,295,0.568,0.432
SD,28,40,70,95,98,135,0.421,0.579
LA,145,162,222,203,367,365,0.501,0.499
DC,37,11,92,4,129,15,0.896,0.104
CA,852,642,1785,1274,2637,1916,0.579,0.421
CO,162,140,324,269,486,409,0.543,0.457
NM,48,40,98,69,146,109,0.573,0.427
IL,254,200,704,545,958,745,0.563,0.437
PA,385,370,730,666,1115,1036,0.518,0.482
TX,889,661,1032,877,1921,1538,0.555,0.445
SC,98,112,175,150,273,262,0.51,0.49
MS,129,72,124,116,253,188,0.574,0.426
IA,111,133,257,359,368,492,0.428,0.572
MD,147,168,345,232,492,400,0.552,0.448
WA,139,137,408,273,547,410,0.572,0.428
VA,352,313,427,349,779,662,0.541,0.459
FL,423,421,708,751,1131,1172,0.491,0.509
ME,42,27,84,62,126,89,0.586,0.414
UT,77,63,103,125,180,188,0.489,0.511
OK,72,78,123,130,195,208,0.484,0.516
AZ,92,88,223,242,315,330,0.488,0.512
WV,69,101,77,105,146,206,0.415,0.585
WY,64,60,52,57,116,117,0.498,0.502
DE,21,12,33,14,54,26,0.675,0.325
NH,43,47,86,76,129,123,0.512,0.488
HI,6,4,19,10,25,14,0.641,0.359
NV,24,14,75,58,99,72,0.579,0.421
ND,2,11,19,42,21,53,0.284,0.716
RI,12,5,27,23,39,28,0.582,0.418
VT,1,1,27,8,28,9,0.757,0.243
MT,3,3,23,23,26,26,0.5,0.5
AK,0,0,2,9,2,9,0.182,0.818
